"id","title","seller_id","rating","mrp","image","current_price","offers","tags","highlights","product_details","manufacturer_details","marketer_details","country_of_origin","expires_on_or_after","created_at"
11,"Paracetamol 500mg Tablet",1,"4.50","25.00",NULL,"20.00","{}","{Fever}","{""Quick relief""}","Used for fever and mild pain relief","ABC Pharma","XYZ Distributors","India","2026-01-01 00:00:00","2025-07-03 19:35:04.614"
12,"Dolo 650mg Tablet",1,"4.70","30.00",NULL,"25.00","{}","{Pain}","{""Trusted brand""}","Effective in high fever","Micro Labs","Micro Labs","India","2026-02-01 00:00:00","2025-07-03 19:35:04.614"
13,"Ibuprofen 400mg Tablet",1,"4.40","28.00",NULL,"24.00","{}","{Pain,Swelling}","{""Fast action""}","Anti-inflammatory painkiller","Pfizer","Pfizer","India","2026-03-10 00:00:00","2025-07-03 19:35:04.614"
14,"Azithromycin 250mg",1,"4.30","50.00",NULL,"45.00","{}","{Antibiotic}","{""Once a day""}","Used for bacterial infections","Sun Pharma","Sun Pharma","India","2025-11-15 00:00:00","2025-07-03 19:35:04.614"
15,"Cefixime 200mg Tablet",1,"4.20","55.00",NULL,"50.00","{}","{Infection}","{""Prescription only""}","Antibiotic for respiratory infections","Alkem","Alkem","India","2026-04-01 00:00:00","2025-07-03 19:35:04.614"
16,"Pantoprazole 40mg",1,"4.10","35.00",NULL,"30.00","{}","{Acidity}","{""Daily dose""}","Reduces stomach acid","Dr. Reddy's","Dr. Reddy's","India","2026-05-01 00:00:00","2025-07-03 19:35:04.614"
17,"Cetirizine 10mg",1,"4.00","15.00",NULL,"10.00","{}","{Allergy}","{Non-sedating}","Used for allergy symptoms","Cipla","Cipla","India","2026-06-01 00:00:00","2025-07-03 19:35:04.614"
18,"Amoxicillin 500mg Capsule",2,"4.20","60.00",NULL,"55.00","{}","{Antibiotic}","{""Broad spectrum""}","Effective against various infections","GSK","GSK","India","2026-01-15 00:00:00","2025-07-03 19:35:04.614"
19,"Montelukast 10mg",2,"4.30","45.00",NULL,"40.00","{}","{Asthma}","{""Night dose""}","Used for asthma and allergies","Lupin","Lupin","India","2026-07-01 00:00:00","2025-07-03 19:35:04.614"
20,"Losartan 50mg",2,"4.00","38.00",NULL,"35.00","{}","{""Blood Pressure""}","{""Daily use""}","Lowers blood pressure","Abbott","Abbott","India","2026-08-01 00:00:00","2025-07-03 19:35:04.614"
21,"Telmisartan 40mg",2,"4.10","42.00",NULL,"38.00","{}","{Hypertension}","{""Long acting""}","Blood pressure control medicine","Zydus","Zydus","India","2026-09-10 00:00:00","2025-07-03 19:35:04.614"
22,"Levocetirizine 5mg",2,"4.00","18.00",NULL,"15.00","{}","{Allergy}","{Non-drowsy}","Allergic rhinitis and urticaria","Intas","Intas","India","2026-10-01 00:00:00","2025-07-03 19:35:04.614"
23,"Domperidone 10mg",2,"4.20","20.00",NULL,"17.00","{}","{Nausea}","{""Fast acting""}","Used for vomiting and nausea","Mankind","Mankind","India","2026-10-20 00:00:00","2025-07-03 19:35:04.614"
24,"Rabeprazole 20mg",2,"4.10","32.00",NULL,"28.00","{}","{Acidity}","{""Morning dose""}","Reduces acid reflux symptoms","Torrent","Torrent","India","2026-11-01 00:00:00","2025-07-03 19:35:04.614"
25,"Metformin 500mg Tablet",3,"4.30","40.00",NULL,"35.00","{}","{Diabetes}","{""Safe long term""}","Controls blood sugar in Type 2 diabetes","USV","USV","India","2026-12-01 00:00:00","2025-07-03 19:35:04.614"
26,"Glimipiride 2mg",3,"4.20","30.00",NULL,"28.00","{}","{""Blood Sugar""}","{""Once daily""}","Improves insulin secretion","Sun Pharma","Sun Pharma","India","2027-01-01 00:00:00","2025-07-03 19:35:04.614"
27,"Clopidogrel 75mg",3,"4.40","55.00",NULL,"50.00","{}","{Heart}","{Anti-clot}","Prevents blood clots post heart attack","Intas","Intas","India","2027-01-20 00:00:00","2025-07-03 19:35:04.614"
28,"Atorvastatin 10mg",3,"4.50","65.00",NULL,"60.00","{}","{Cholesterol}","{""Night dose""}","Lowers cholesterol levels","Pfizer","Pfizer","India","2027-02-01 00:00:00","2025-07-03 19:35:04.614"
29,"Thyroxine 50mcg",3,"4.60","25.00",NULL,"20.00","{}","{Thyroid}","{""Empty stomach""}","Hormone replacement therapy","Abbott","Abbott","India","2027-03-01 00:00:00","2025-07-03 19:35:04.614"
30,"Ranitidine 150mg",3,"3.80","22.00",NULL,"18.00","{}","{Acidity}","{""Old generation""}","Used to reduce stomach acid","Cadila","Cadila","India","2026-06-01 00:00:00","2025-07-03 19:35:04.614"
